FIPS,Unemployment_rate_2023,Median_Household_Income_2022,Med_HH_Income_Percent_of_State_Total_2022
16035,5.7,"57,081",78.6
16037,3.8,"57,405",79.0
16039,3.3,"63,009",86.7
16041,2.7,"71,669",98.7
16043,2.6,"61,115",84.1
16045,3.8,"60,771",83.7
16047,3.0,"59,838",82.4
16049,4.0,"60,907",83.9
16051,2.6,"76,474",105.3
16053,3.1,"61,509",84.7
16055,3.6,"75,583",104.1
16057,2.7,"60,108",82.8
16059,3.8,"55,554",76.5
16061,3.4,"55,128",75.9
16063,3.9,"61,658",84.9
16065,2.2,"52,224",71.9
16067,2.7,"60,834",83.8
16069,2.8,"65,558",90.3
16071,3.0,"66,175",91.1
16073,3.9,"57,142",78.7
16075,3.8,"61,725",85.0
16077,3.8,"57,426",79.1
16079,5.2,"47,005",64.7
16081,2.3,"95,580",131.6
16083,3.2,"63,860",87.9
16085,3.7,"74,166",102.1
16087,4.0,"55,072",75.8
17000,4.5,"76,744",100.0
17001,3.6,"61,747",80.5
17003,6.3,"41,378",53.9
17005,4.2,"66,071",86.1
17007,7.0,"83,695",109.1
17009,2.4,"78,081",101.7
17011,5.7,"63,042",82.1
17013,4.2,"68,525",89.3
17015,4.4,"64,157",83.6
17017,4.4,"62,129",81.0
17019,4.1,"61,205",79.8
17021,5.1,"56,888",74.1
17023,4.6,"63,655",82.9
17025,5.3,"55,282",72.0
17027,3.3,"79,612",103.7
17029,4.4,"57,712",75.2
17031,4.4,"76,614",99.8
17033,4.0,"66,333",86.4
17035,3.5,"79,140",103.1
17037,4.7,"71,882",93.7
17039,4.4,"64,262",83.7
17041,3.6,"67,796",88.3
17043,3.4,"102,383",133.4
17045,3.7,"63,430",82.7
17047,4.7,"58,387",76.1
17049,3.2,"74,800",97.5
17051,4.9,"57,729",75.2
17053,4.4,"67,135",87.5
17055,5.5,"49,108",64.0
17057,5.3,"57,362",74.7
17059,5.4,"51,367",66.9
17061,4.4,"58,196",75.8
17063,4.6,"93,882",122.3
17065,3.8,"56,984",74.3
17067,4.1,"63,324",82.5
17069,5.5,"46,568",60.7
17071,4.2,"61,892",80.6
17073,4.9,"70,517",91.9
17075,4.6,"65,181",84.9
17077,4.4,"44,756",58.3
17079,4.0,"66,290",86.4
17081,4.7,"58,623",76.4
17083,3.9,"72,363",94.3
17085,4.1,"67,217",87.6
17087,5.8,"59,794",77.9
17089,5.1,"93,475",121.8
17091,5.8,"70,494",91.9
17093,3.8,"102,509",133.6
17095,5.5,"57,666",75.1
17097,5.0,"101,621",132.4
17099,5.8,"64,711",84.3
17101,5.3,"57,460",74.9
17103,4.4,"67,371",87.8
17105,4.1,"74,418",97.0
17107,4.7,"53,775",70.1
17109,4.6,"52,812",68.8
17111,3.7,"99,128",129.2
17113,3.9,"71,825",93.6
17115,6.0,"60,648",79.0
17117,4.1,"69,880",91.1
17119,4.1,"67,441",87.9
17121,4.9,"58,489",76.2
17123,5.2,"69,593",90.7
17125,5.2,"60,784",79.2
17127,5.0,"52,880",68.9
17129,3.9,"78,115",101.8
17131,4.7,"70,430",91.8
17133,3.1,"100,487",130.9
17135,5.1,"56,381",73.5
17137,4.2,"64,842",84.5
17139,3.6,"75,505",98.4
17141,5.4,"78,577",102.4
17143,5.5,"65,421",85.2
17145,5.3,"53,051",69.1
17147,3.8,"85,430",111.3
17149,4.5,"54,244",70.7
17151,3.9,"54,878",71.5
17153,7.7,"44,873",58.5
17155,5.6,"83,029",108.2
17157,4.0,"62,575",81.5
17159,4.2,"56,831",74.1
17161,5.1,"62,652",81.6
17163,4.6,"67,185",87.5
17165,5.0,"50,979",66.4
17167,4.3,"73,684",96.0
17169,4.3,"62,968",82.0
17171,5.1,"64,853",84.5
17173,4.4,"65,396",85.2
17175,5.6,"59,234",77.2
17177,5.0,"60,988",79.5
17179,4.5,"73,285",95.5
17181,5.4,"51,116",66.6
17183,5.8,"52,083",67.9
17185,3.4,"63,777",83.1
17187,4.2,"57,357",74.7
17189,2.8,"71,958",93.8
17191,4.6,"53,359",69.5
17193,4.1,"54,611",71.2
17195,4.7,"62,038",80.8
17197,4.2,"97,076",126.5
17199,4.4,"64,152",83.6
17201,6.2,"62,557",81.5
17203,4.0,"85,892",111.9
18000,3.3,"66,768",100.0
18001,2.7,"60,620",90.8
18003,3.1,"65,967",98.8
18005,2.8,"68,910",103.2
18007,2.6,"62,248",93.2
18009,4.0,"54,825",82.1
18011,2.5,"102,805",154.0
